 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Atend.Hanseníase por Município e Ano/Mês
Período:1998-2015
"Município";"1998";"1999";"2000";"2001";"2002";"2003";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"Total"
"110020 Porto Velho";-;54;69;157;132;190;25;21;15;16;25;24;22;21;24;15;-;15;8;12;13;21;20;17;34;15;12;10;7;11;16;19;21;11;28;23;18;19;15;14;8;53;17;17;26;20;12;14;14;93;8;9;13;9;74;56;16;25;122;71;9;21;29;83;21;14;24;29;31;15;13;65;42;21;24;17;22;51;27;20;24;24;19;20;16;33;24;25;23;90;32;35;29;36;119;111;106;42;46;41;36;42;52;60;57;65;52;77;49;42;39;45;43;77;55;44;45;85;65;54;45;59;71;75;61;30;32;37;29;33;25;46;40;73;26;27;32;26;18;32;19;28;26;34;31;14;33;10;19;11;5465
"110025 Presidente Médici";15;3;6;-;-;5;-;-;-;-;49;-;1;-;1;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;1;3;2;9;2;2;2;1;1;-;1;1;3;-;1;-;-;-;-;-;-;-;-;-;4;-;-;-;58;1;-;-;-;-;5;8;10;3;6;13;22;3;12;3;4;4;8;5;3;6;7;6;6;7;2;4;4;4;3;7;72;3;38;2;7;4;3;1;6;8;1;5;1;1;1;1;3;3;4;3;4;4;1;1;2;3;1;2;2;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;538
"110147 Primavera de Rondônia";-;-;26;78;27;27;-;2;2;5;4;3;4;4;4;66;5;5;4;8;3;1;-;-;-;3;-;-;-;-;3;4;5;-;8;4;-;9;15;25;24;-;8;4;16;76;17;-;17;14;-;-;1;-;5;-;-;-;-;2;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;570
"110026 Rio Crespo";-;-;-;25;-;7;-;-;-;-;-;2;5;2;4;5;5;3;-;-;2;3;3;3;2;3;3;3;3;3;3;3;3;3;4;4;4;-;4;1;1;1;-;4;2;4;4;4;4;4;4;-;-;-;3;3;-;3;-;-;-;-;-;-;-;-;-;-;-;-;2;2;2;2;2;2;-;-;4;4;2;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;2;3;2;2;2;1;-;3;-;1;1;1;-;-;1;-;1;336;-;-;-;1;1;-;1;1;1;2;-;2;2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;596
"110028 Rolim de Moura";-;2;107;99;200;472;-;-;89;58;40;93;132;73;-;87;88;83;63;105;-;-;-;91;135;4;186;149;186;149;149;186;4;91;135;91;135;4;186;149;186;149;149;186;4;88;99;76;115;55;32;114;67;-;65;-;38;33;91;145;79;90;81;90;102;102;80;72;127;105;100;103;74;94;87;122;-;-;77;78;67;55;95;69;74;104;52;61;-;-;-;-;90;116;99;142;157;-;137;160;152;-;90;156;137;137;94;102;103;126;125;120;134;79;91;132;88;110;-;90;88;67;90;65;71;59;54;81;85;88;175;85;73;121;134;110;133;104;95;106;86;71;105;45;-;-;-;-;-;-;12911
"110029 Santa Luzia D'Oeste";23;37;4;99;5;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;3;5;6;5;2;-;-;-;8;5;-;-;2;2;3;-;-;-;5;3;2;2;3;-;5;-;1;2;8;5;4;5;5;3;2;2;2;3;5;11;7;4;5;6;10;9;13;12;-;10;3;13;4;15;4;11;11;8;5;5;9;8;7;6;9;10;8;10;6;14;7;16;15;6;14;40;40;11;15;10;8;8;10;7;9;10;3;8;5;11;7;10;7;9;3;1;5;10;9;11;5;5;5;4;8;6;8;12;18;16;2;9;24;23;12;12;10;17;5;5;-;-;-;-;-;-;-;1069
"110148 São Felipe D'Oeste";-;-;25;20;7;59;3;2;3;-;-;-;-;5;-;9;4;3;-;8;-;5;2;1;5;6;5;12;16;4;-;-;2;6;8;8;-;8;8;5;9;3;4;7;6;3;7;11;21;10;8;2;8;-;-;-;2;1;-;-;-;-;4;1;-;-;-;1;11;2;-;3;-;2;1;-;3;1;3;3;-;-;5;-;-;-;1;3;2;3;-;-;-;3;2;12;-;7;8;3;-;2;1;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;452
"110149 São Francisco do Guaporé";-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5;5;5;6;5;5;5;5;3;-;3;3;3;6;-;2;3;1;3;3;2;-;3;3;4;7;5;8;6;9;6;6;10;7;5;3;5;10;-;14;6;3;3;3;9;5;13;8;5;7;3;5;5;10;10;7;-;4;3;-;-;1;11;13;20;-;11;13;11;12;9;17;-;4;9;7;109;8;4;8;9;10;11;11;2;10;14;8;5;5;1;1;5;1;2;3;3;4;4;4;4;4;3;6;7;6;8;14;18;9;18;14;5;8;9;12;7;9;10;15;7;916
"110032 São Miguel do Guaporé";-;-;82;218;129;154;27;26;19;18;25;59;24;-;22;38;38;42;25;27;25;90;49;53;45;59;47;47;33;31;33;36;53;51;84;88;144;81;91;41;49;38;50;27;39;30;25;-;39;24;18;14;30;25;63;12;29;5;24;23;35;28;41;-;34;45;38;32;29;44;15;41;-;50;-;-;-;-;95;25;145;-;70;-;35;50;45;65;-;-;16;38;57;66;60;4;27;16;20;3;-;18;-;29;9;18;19;11;22;17;21;25;8;23;25;21;5;1;3;3;22;23;-;35;34;27;13;9;7;6;3;6;12;27;43;35;11;16;-;-;-;-;-;-;-;-;-;-;-;-;4594
"110150 Seringueiras";-;5;23;87;42;35;-;-;-;1;-;-;-;1;1;-;1;-;2;56;38;5;1;8;-;-;1;8;-;-;-;-;-;11;8;13;14;10;8;14;10;6;13;12;13;12;13;4;11;2;-;-;-;-;12;6;11;8;6;5;9;3;1;8;-;5;7;7;-;12;6;6;7;6;7;4;-;3;6;9;4;6;6;3;5;2;7;7;7;7;7;8;5;5;4;1;8;10;8;7;7;9;6;6;5;5;3;2;8;8;11;11;11;8;8;10;4;1;6;1;8;4;4;6;3;9;5;2;9;9;11;5;2;6;-;6;1;1;3;2;2;-;4;-;-;-;-;-;-;-;992
"110155 Teixeirópolis";31;31;23;19;-;36;3;10;6;-;-;2;-;-;-;-;5;-;12;16;24;16;16;19;13;13;29;12;18;4;-;11;-;5;3;9;4;-;1;2;1;6;6;3;5;6;4;-;8;-;-;6;7;8;4;-;15;20;11;18;12;10;11;22;7;9;18;22;10;12;12;6;12;14;10;9;8;7;8;3;14;3;5;7;8;2;5;2;5;7;10;3;6;3;1;2;2;3;1;1;7;2;5;9;5;3;8;18;19;18;15;14;12;7;5;1;2;6;3;1;3;-;-;1;-;-;-;235;7;1;1;3;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1248
"110160 Theobroma";47;10;44;8;2;3;-;-;1;1;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;1;1;-;-;-;-;-;-;8;5;8;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2;7;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2;-;1;-;-;-;-;1;-;1;-;-;-;4;5;4;2;-;1;2;2;3;1;1;1;5;-;3;4;4;-;4;4;6;2;-;5;4;-;2;2;-;2;-;3;-;-;-;9;-;-;-;-;4;-;-;-;-;-;263
"110170 Urupá";-;65;41;97;110;90;6;6;-;-;-;9;6;4;12;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;1;15;24;11;8;32;24;26;15;16;6;3;8;16;21;2;12;12;13;9;17;16;9;9;9;4;8;23;8;18;13;3;2;3;2;35;17;4;6;5;4;8;5;8;6;6;4;4;9;6;6;11;4;6;7;17;23;26;22;18;12;17;17;10;8;5;15;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1241
"110175 Vale do Anari";6;78;91;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;30;5;7;7;6;7;3;7;4;7;7;6;7;8;7;8;-;2;5;7;2;6;8;7;21;10;133;7;5;5;3;10;4;6;6;4;6;5;5;2;3;2;3;4;4;3;4;3;1;2;6;8;6;6;7;4;3;3;6;5;3;3;3;3;2;3;2;2;3;2;1;1;6;5;2;3;5;4;3;1;2;2;2;2;2;1;-;1;-;2;14;1;-;2;2;5;-;2;2;1;2;-;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;790
"110180 Vale do Paraíso";-;-;-;1;7;25;2;2;-;-;-;-;-;-;-;-;3;2;4;-;-;11;7;10;12;10;6;6;6;10;8;5;10;10;1;2;8;4;5;4;4;3;5;23;5;2;2;5;3;8;-;5;-;5;4;3;6;2;4;-;-;3;-;-;1;-;5;5;6;4;3;5;4;4;4;3;3;3;5;4;5;4;3;4;3;3;4;3;2;3;2;4;6;7;5;3;3;3;2;3;4;3;4;3;4;3;4;5;2;4;2;3;2;-;2;-;-;1;1;2;1;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4;1;-;-;-;-;1;1;-;-;-;-;464
"110030 Vilhena";-;-;-;4;10;21;246;51;10;4;4;3;4;209;7;10;7;9;8;15;11;4;4;6;5;-;183;6;285;2;-;-;-;-;6;6;-;9;176;268;6;-;686;1;-;9;155;9;5;7;6;-;5;214;2;-;8;63;4;168;138;154;-;148;91;35;74;1;1;24;-;1;3;2;7;3;3;10;4;3;28;6;12;-;16;2;27;7;1;-;4;3;1;4;1;-;2;-;3;3;4;2;2;3;21;3;4;5;1;3;2;6;5;3;3;2;1;2;2;3;-;3;3;4;1;132;147;13;12;23;21;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4223
"120001 Acrelândia";-;2;15;-;8;8;-;1;1;1;1;3;-;3;6;6;3;6;4;4;1;3;-;2;2;2;1;4;3;2;2;3;13;9;24;7;19;22;8;10;9;55;19;5;6;2;2;2;-;5;13;2;23;12;-;-;7;-;-;3;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;3;2;-;3;5;1;4;3;99;1;3;2;-;2;-;-;1;-;-;-;-;-;-;3;1;2;4;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;4;-;-;-;-;-;-;1;2;3;-;34;1;-;-;-;-;-;-;-;22;44;-;-;1;1;-;-;1;633
"120005 Assis Brasil";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;6;3;-;-;3;3;3;2;2;1;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;1;-;-;3;-;-;-;-;1;-;-;1;2;-;2;-;-;-;-;-;1;-;2;3;11;4;9;7;-;-;-;-;1;-;2;3;1;1;1;1;-;-;1;2;1;-;-;-;-;2;1;-;1;1;1;1;1;1;2;-;1;1;1;2;3;3;1;2;1;-;2;2;2;1;1;2;2;1;2;-;-;-;-;-;-;-;-;-;-;-;139
"120010 Brasiléia";-;2;30;13;23;53;1;2;-;2;3;2;2;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;2;3;1;3;3;3;2;3;2;61;2;5;3;6;2;1;4;4;2;2;1;-;-;2;-;2;-;-;-;-;-;1;1;1;-;1;-;1;-;-;-;-;1;-;-;3;2;1;-;-;-;-;4;-;1;1;-;4;-;1;1;2;2;1;2;2;3;-;2;-;1;2;-;1;-;2;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;306
"120013 Bujari";-;-;56;27;-;11;1;1;2;1;-;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;9;1;1;1;1;38;-;-;1;-;-;-;1;-;1;2;-;-;-;19;197
"120017 Capixaba";-;-;7;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;2;1;2;65;2;4;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;4;15;-;2;-;-;-;-;1;1;6;1;-;-;1;1;2;1;-;1;1;1;-;-;-;1;-;-;1;2;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;147
"120020 Cruzeiro do Sul";8;195;256;86;89;16;-;1;29;-;-;-;-;1;3;3;-;-;-;1;-;-;2;-;1;1;-;3;-;-;2;4;9;5;5;24;4;1;1;5;2;1;4;1;-;-;-;1;2;-;2;5;45;7;3;-;-;-;1;-;1;-;5;4;4;4;1;1;3;31;1;2;-;1;-;1;1;1;1;1;2;1;1;5;6;12;-;1;60;21;1;-;3;3;5;3;3;2;-;1;45;6;4;2;1;5;2;1;22;2;9;6;-;-;1;1;2;1;2;2;3;55;3;5;3;5;3;4;6;3;4;3;-;7;12;3;1;2;9;3;3;-;-;-;-;-;-;-;-;-;1273
"120025 Epitaciolândia";35;76;7;73;141;155;18;15;12;12;12;11;8;10;9;-;8;8;8;6;-;4;2;3;3;4;2;3;2;3;2;2;2;1;1;7;8;1;1;8;1;3;3;2;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;3;1;1;2;2;3;4;3;2;1;1;2;1;1;-;-;-;2;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;2;-;1;1;-;-;32;-;-;-;-;-;2;-;-;3;-;1;1;2;1;2;1;1;-;1;-;-;-;1;-;8;8;1;-;-;1;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;821
"120030 Feijó";-;13;33;3;9;1;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;3;2;2;-;-;1;-;-;-;4;1;2;1;1;1;-;1;-;2;-;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;1;1;1;1;93;-;3;2;1;1;4;1;2;1;1;-;1;1;2;2;-;3;63;1;1;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;285
"120032 Jordão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"120033 Mâncio Lima";-;-;4;6;4;44;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;2;1;3;2;3;2;1;1;2;-;-;2;-;-;-;-;-;-;-;40;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;-;-;-;-;-;1;1;2;2;-;-;1;-;-;-;1;1;-;-;1;1;-;1;1;1;-;-;1;13;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;158
"120034 Manoel Urbano";-;3;17;3;33;50;4;4;4;3;3;5;22;1;1;6;7;-;9;2;1;2;1;7;13;6;1;4;6;2;5;3;1;2;2;3;9;8;2;7;5;4;6;1;1;-;-;7;7;5;17;2;11;8;-;4;6;7;5;7;4;5;-;6;12;9;6;4;5;4;4;1;2;3;2;2;3;4;4;3;2;-;-;-;4;5;5;4;6;3;5;2;3;2;3;3;2;5;4;3;4;3;4;2;2;4;3;1;3;3;3;2;2;2;2;-;1;2;2;2;2;1;2;2;-;1;2;3;3;2;-;1;2;1;-;-;-;-;2;-;2;1;-;-;-;-;-;-;-;-;583
"120035 Marechal Thaumaturgo";-;-;-;2;2;-;-;-;-;-;-;-;-;-;5;13;13;11;11;11;5;2;8;10;5;1;5;5;6;5;4;2;13;12;15;11;24;22;18;20;8;9;13;13;7;9;8;6;16;8;6;8;8;11;5;2;-;-;-;4;-;-;4;4;-;-;-;1;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;-;-;-;5;-;29;31;-;1;1;1;-;496
"120038 Plácido de Castro";-;-;-;-;1;4;-;-;-;1;-;-;-;1;-;-;20;-;-;1;1;7;1;3;4;6;3;7;29;-;7;22;12;18;10;19;16;18;5;7;6;1;2;4;4;3;3;6;3;10;82;3;2;1;1;3;2;6;7;5;4;8;3;6;7;5;5;7;2;2;4;8;5;6;63;8;8;4;5;8;12;105;10;5;7;53;4;12;4;3;-;4;-;6;6;6;8;7;4;6;12;6;11;7;4;3;6;5;6;4;141;2;-;-;8;4;1;-;2;1;19;1;3;5;3;-;45;-;10;3;-;-;1;2;-;-;5;3;-;-;-;1;-;2;3;3;2;4;6;3;1154
"120080 Porto Acre";-;50;27;40;61;20;-;-;-;-;1;2;-;1;-;-;2;2;-;2;1;1;1;1;2;3;2;3;2;3;6;7;14;7;4;6;5;11;2;5;5;1;-;5;4;5;3;2;4;4;3;6;4;5;7;-;2;7;1;1;1;2;-;2;2;1;-;-;2;3;1;4;3;2;4;3;2;1;1;9;3;3;1;1;5;3;-;-;3;1;2;2;-;2;-;1;3;17;3;1;-;-;1;3;-;-;-;2;-;-;-;50;3;-;1;1;1;-;2;-;-;-;-;-;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;527
"120039 Porto Walter";-;-;-;-;1;2;-;-;-;-;-;-;1;-;-;-;-;-;-;2;1;2;-;12;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;1;-;-;16;-;-;1;-;-;2;2;4;1;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;5;1;1;-;-;-;-;81
"120040 Rio Branco";24;-;16;58;119;166;21;47;7;105;1;23;6;5;7;6;5;8;12;3;5;4;55;3;22;2;4;3;44;4;637;7;78;30;28;7;11;7;8;13;13;6;2;6;5;124;3;8;1;11;3;4;-;-;24;5;8;9;23;15;5;22;19;6;6;11;81;6;5;21;18;3;30;8;8;119;2;65;11;77;-;76;-;14;7;2;3;1;4;3;-;3;1;1;8;1;1;2;2;2;-;1;1;-;91;6;4;25;1;7;11;9;7;7;6;44;25;4;2;2;436;2;1;14;2;-;3;3;2;29;1;3;1;3;7;2;29;7;60;48;33;108;1;-;78;2;1;6;1;3;3674
"120042 Rodrigues Alves";-;-;-;122;-;12;3;-;-;-;-;-;1;1;-;-;-;-;-;1;19;-;-;-;1;1;21;-;-;-;-;1;3;76;-;1;1;-;-;1;-;-;1;-;-;-;-;1;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;3;-;1;-;1;1;3;-;-;-;3;1;-;4;1;3;-;-;-;-;54;1;1;1;1;1;3;2;2;1;1;-;2;1;2;1;-;5;2;3;4;4;-;2;2;3;-;-;449
"120043 Santa Rosa do Purus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;3;3;3;3;3;3;2;3;2;2;2;2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40
"120050 Sena Madureira";4;6;30;46;4;4;-;-;-;-;4;3;3;-;-;-;-;2;3;-;-;2;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;1;-;3;2;-;10;10;-;1;2;-;2;18;3;1;1;-;-;-;1;-;-;-;8;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;1;4;-;-;-;-;1;-;1;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;2;3;1;4;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;208
"120045 Senador Guiomard";-;46;46;77;97;57;4;4;5;4;7;3;5;3;1;1;-;1;2;4;7;8;5;5;3;3;4;3;3;1;4;2;2;3;4;5;4;7;1;3;2;1;-;-;1;2;-;1;1;2;1;1;1;2;1;2;-;1;2;-;2;2;2;2;1;2;1;1;2;-;1;7;2;-;-;4;22;1;-;-;-;1;-;7;2;1;1;-;1;1;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3;-;-;1;1;1;1;1;112;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;658
"120060 Tarauacá";-;-;1;19;36;26;4;1;1;-;-;6;5;6;4;1;7;4;6;62;2;3;-;9;1;12;4;4;3;5;2;9;7;4;1;1;3;8;3;3;1;1;-;1;2;2;1;3;2;1;4;11;24;27;24;34;34;37;16;22;-;4;-;2;-;3;-;38;3;26;43;55;33;3;35;31;3;-;36;28;-;-;25;13;1;2;32;1;65;30;36;18;-;31;5;1;2;36;11;48;42;1;37;33;3;49;42;1;13;6;3;36;-;49;1;20;-;-;36;-;1;49;38;2;21;-;2;2;3;33;-;2;1;41;1;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;1821
"120070 Xapuri";2;63;10;3;7;110;-;-;-;-;1;-;-;-;-;-;-;-;-;-;7;6;8;5;5;9;8;11;13;14;19;18;28;37;33;35;25;25;4;22;16;16;22;1;1;1;1;-;-;1;-;1;2;1;1;1;1;26;29;47;47;47;1;1;1;2;25;-;10;16;5;1;1;1;-;25;4;5;4;4;5;4;6;10;10;9;-;-;1;-;1;-;-;1;1;-;15;15;11;11;11;10;10;-;9;9;9;11;10;21;8;8;8;8;9;9;7;10;-;14;14;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1193
"130002 Alvarães";-;-;-;16;5;32;-;-;1;1;-;-;-;-;2;-;1;1;3;2;-;1;2;1;2;2;-;-;35;3;2;2;2;3;2;3;1;-;2;1;2;2;-;2;1;2;3;2;1;3;1;1;3;1;-;-;2;2;1;2;2;2;-;-;-;3;2;2;3;3;5;4;6;3;5;9;6;7;10;2;8;4;3;3;4;1;2;2;3;2;1;44;1;1;1;-;2;-;1;1;1;1;1;1;1;1;1;2;1;-;-;-;1;1;1;2;2;2;2;2;3;2;3;2;4;1;1;4;1;2;1;-;3;2;-;2;-;-;-;1;1;1;2;-;-;-;-;-;-;-;376
"130006 Amaturá";-;-;2;4;9;29;2;3;2;2;1;1;1;-;2;4;5;2;1;1;2;21;4;7;4;4;4;4;4;4;1;1;2;4;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;-;-;-;2;2;3;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;1;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;215
